area_fm_id,dia_semana,hora,qtd
20,Quinta,18,32
20,Quinta,19,44
20,Quinta,20,51
20,Quinta,21,47
20,Quinta,22,30
20,Quinta,23,35
20,Segunda,0,20
20,Segunda,1,19
20,Segunda,2,15
20,Segunda,3,15
20,Segunda,4,12
20,Segunda,5,35
20,Segunda,6,23
20,Segunda,7,19
20,Segunda,8,15
20,Segunda,9,11
20,Segunda,10,18
20,Segunda,11,21
20,Segunda,12,16
20,Segunda,13,17
20,Segunda,14,34
20,Segunda,15,25
20,Segunda,16,14
20,Segunda,17,21
20,Segunda,18,31
20,Segunda,19,39
20,Segunda,20,52
20,Segunda,21,37
20,Segunda,22,35
20,Segunda,23,39
20,Sexta,0,16
20,Sexta,1,9
20,Sexta,2,12
20,Sexta,3,15
20,Sexta,4,16
20,Sexta,5,30
20,Sexta,6,21
20,Sexta,7,13
20,Sexta,8,12
20,Sexta,9,7
20,Sexta,10,19
20,Sexta,11,15
20,Sexta,12,20
20,Sexta,13,23
20,Sexta,14,18
20,Sexta,15,22
20,Sexta,16,31
20,Sexta,17,19
20,Sexta,18,35
20,Sexta,19,45
20,Sexta,20,71
20,Sexta,21,62
20,Sexta,22,61
20,Sexta,23,52
20,Sábado,0,37
20,Sábado,1,35
20,Sábado,2,20
20,Sábado,3,28
20,Sábado,4,28
20,Sábado,5,62
20,Sábado,6,54
20,Sábado,7,13
20,Sábado,8,11
20,Sábado,9,5
20,Sábado,10,7
20,Sábado,11,16
20,Sábado,12,20
20,Sábado,13,20
20,Sábado,14,10
20,Sábado,15,17
20,Sábado,16,9
20,Sábado,17,14
20,Sábado,18,20
20,Sábado,19,39
20,Sábado,20,44
20,Sábado,21,54
20,Sábado,22,45
20,Sábado,23,54
20,Terça,0,10
20,Terça,1,11
20,Terça,2,5
20,Terça,3,18
20,Terça,4,15
20,Terça,5,22
20,Terça,6,18
20,Terça,7,21
20,Terça,8,19
20,Terça,9,25
20,Terça,10,13
20,Terça,11,22
20,Terça,12,24
20,Terça,13,25
20,Terça,14,19
20,Terça,15,16
20,Terça,16,15
20,Terça,17,25
20,Terça,18,31
20,Terça,19,38
20,Terça,20,58
20,Terça,21,43
20,Terça,22,26
20,Terça,23,26
